Date,DateKey
11/16/2015,42324
11/17/2015,42325
11/18/2015,42326
11/19/2015,42327
11/20/2015,42328
11/21/2015,42329
11/22/2015,42330
11/23/2015,42331
11/24/2015,42332
11/25/2015,42333
11/26/2015,42334
11/27/2015,42335
11/28/2015,42336
11/29/2015,42337
11/30/2015,42338
12/1/2015,42339
12/2/2015,42340
12/3/2015,42341
12/4/2015,42342
12/5/2015,42343
12/6/2015,42344
12/7/2015,42345
12/8/2015,42346
12/9/2015,42347
12/10/2015,42348
12/11/2015,42349
12/12/2015,42350
12/13/2015,42351
12/14/2015,42352
12/15/2015,42353
12/16/2015,42354
12/17/2015,42355
12/18/2015,42356
12/19/2015,42357
12/20/2015,42358
12/21/2015,42359
12/22/2015,42360
12/23/2015,42361
12/24/2015,42362
12/25/2015,42363
12/26/2015,42364
12/27/2015,42365
12/28/2015,42366
12/29/2015,42367
12/30/2015,42368
12/31/2015,42369
1/1/2016,42370
1/2/2016,42371
1/3/2016,42372
1/4/2016,42373
1/5/2016,42374
1/6/2016,42375
1/7/2016,42376
1/8/2016,42377
1/9/2016,42378
1/10/2016,42379
1/11/2016,42380
1/12/2016,42381
1/13/2016,42382
1/14/2016,42383
1/15/2016,42384
1/16/2016,42385
1/17/2016,42386
1/18/2016,42387
1/19/2016,42388
1/20/2016,42389
1/21/2016,42390
1/22/2016,42391
1/23/2016,42392
1/24/2016,42393
1/25/2016,42394
1/26/2016,42395
1/27/2016,42396
1/28/2016,42397
1/29/2016,42398
1/30/2016,42399
1/31/2016,42400
2/1/2016,42401
2/2/2016,42402
2/3/2016,42403
2/4/2016,42404
2/5/2016,42405
2/6/2016,42406
2/7/2016,42407
2/8/2016,42408
2/9/2016,42409
2/10/2016,42410
2/11/2016,42411
2/12/2016,42412
2/13/2016,42413
2/14/2016,42414
2/15/2016,42415
2/16/2016,42416
2/17/2016,42417
2/18/2016,42418
2/19/2016,42419
2/20/2016,42420
2/21/2016,42421
2/22/2016,42422
2/23/2016,42423
2/24/2016,42424
2/25/2016,42425
2/26/2016,42426
2/27/2016,42427
2/28/2016,42428
2/29/2016,42429
3/1/2016,42430
3/2/2016,42431
3/3/2016,42432
3/4/2016,42433
3/5/2016,42434
3/6/2016,42435
3/7/2016,42436
3/8/2016,42437
3/9/2016,42438
3/10/2016,42439
3/11/2016,42440
3/12/2016,42441
3/13/2016,42442
3/14/2016,42443
3/15/2016,42444
3/16/2016,42445
3/17/2016,42446
3/18/2016,42447
3/19/2016,42448
3/20/2016,42449
3/21/2016,42450
3/22/2016,42451
3/23/2016,42452
3/24/2016,42453
3/25/2016,42454
3/26/2016,42455
3/27/2016,42456
3/28/2016,42457
3/29/2016,42458
3/30/2016,42459
3/31/2016,42460
4/1/2016,42461
4/2/2016,42462
4/3/2016,42463
4/4/2016,42464
4/5/2016,42465
4/6/2016,42466
4/7/2016,42467
4/8/2016,42468
4/9/2016,42469
4/10/2016,42470
4/11/2016,42471
4/12/2016,42472
4/13/2016,42473
4/14/2016,42474
4/15/2016,42475
4/16/2016,42476
4/17/2016,42477
4/18/2016,42478
4/19/2016,42479
4/20/2016,42480
4/21/2016,42481
4/22/2016,42482
4/23/2016,42483
4/24/2016,42484
4/25/2016,42485
4/26/2016,42486
4/27/2016,42487
4/28/2016,42488
4/29/2016,42489
4/30/2016,42490
5/1/2016,42491
5/2/2016,42492
5/3/2016,42493
5/4/2016,42494
5/5/2016,42495
5/6/2016,42496
5/7/2016,42497
5/8/2016,42498
5/9/2016,42499
5/10/2016,42500
5/11/2016,42501
5/12/2016,42502
5/13/2016,42503
5/14/2016,42504
5/15/2016,42505
5/16/2016,42506
5/17/2016,42507
5/18/2016,42508
5/19/2016,42509
5/20/2016,42510
5/21/2016,42511
5/22/2016,42512
5/23/2016,42513
5/24/2016,42514
5/25/2016,42515
5/26/2016,42516
5/27/2016,42517
5/28/2016,42518
5/29/2016,42519
5/30/2016,42520
5/31/2016,42521
6/1/2016,42522
6/2/2016,42523
6/3/2016,42524
6/4/2016,42525
6/5/2016,42526
6/6/2016,42527
6/7/2016,42528
6/8/2016,42529
6/9/2016,42530
6/10/2016,42531
6/11/2016,42532
6/12/2016,42533
6/13/2016,42534
6/14/2016,42535
6/15/2016,42536
6/16/2016,42537
6/17/2016,42538
6/18/2016,42539
6/19/2016,42540
6/20/2016,42541
6/21/2016,42542
6/22/2016,42543
6/23/2016,42544
6/24/2016,42545
6/25/2016,42546
6/26/2016,42547
6/27/2016,42548
6/28/2016,42549
6/29/2016,42550
6/30/2016,42551
7/1/2016,42552
7/2/2016,42553
7/3/2016,42554
7/4/2016,42555
7/5/2016,42556
7/6/2016,42557
7/7/2016,42558
7/8/2016,42559
7/9/2016,42560
7/10/2016,42561
7/11/2016,42562
7/12/2016,42563
7/13/2016,42564
7/14/2016,42565
7/15/2016,42566
7/16/2016,42567
7/17/2016,42568
7/18/2016,42569
7/19/2016,42570
7/20/2016,42571
7/21/2016,42572
7/22/2016,42573
7/23/2016,42574
7/24/2016,42575
7/25/2016,42576
7/26/2016,42577
7/27/2016,42578
7/28/2016,42579
7/29/2016,42580
7/30/2016,42581
7/31/2016,42582
8/1/2016,42583
8/2/2016,42584
8/3/2016,42585
8/4/2016,42586
8/5/2016,42587
8/6/2016,42588
8/7/2016,42589
8/8/2016,42590
8/9/2016,42591
8/10/2016,42592
8/11/2016,42593
8/12/2016,42594
8/13/2016,42595
8/14/2016,42596
